scanname,Scan008
704.00036599999999,677
706.08038299999998,660
708.15905799999996,703
710.23644999999999,692
712.31262200000003,649
714.38745100000006,665
716.46093800000006,628
718.53308100000004,713
720.60394299999996,642
722.67346199999997,650
724.74169900000004,685
726.80865500000004,640
728.874146,669
730.93859899999995,696
733.00158699999997,667
735.06329300000004,690
737.12377900000001,667
739.182861,718
741.240723,687
743.29724099999999,651
745.35241699999995,655
747.40618900000004,646
749.45886199999995,690
751.51019299999996,685
753.56018100000006,657
755.60906999999997,637
757.65643299999999,683
759.70257600000002,632
761.74749799999995,629
763.79107699999997,626
765.83331299999998,623
767.87432899999999,625
769.91400099999998,627
771.95245399999999,599
773.98956299999998,627
776.02551300000005,618
778.06005900000002,591
780.09338400000001,660
782.12536599999999,620
784.15612799999997,636
786.18554700000004,652
788.21368399999994,591
790.24060099999997,596
792.26635699999997,643
794.29064900000003,674
796.31372099999999,625
798.33563200000003,635
800.35613999999998,648
802.37530500000003,618
804.393372,598
806.41015600000003,593
808.42553699999996,611
810.43969700000002,578
812.45269800000005,572
814.46435499999995,633
816.47473100000002,631
818.48388699999998,629
820.49176,576
822.49841300000003,636
824.503784,610
826.50793499999997,616
828.51068099999998,607
830.51226799999995,612
832.51269500000001,624
834.51165800000001,591
836.50958300000002,602
838.50616500000001,573
840.50158699999997,581
842.49548300000004,621
844.48840299999995,565
846.479919,624
848.47021500000005,596
850.45935099999997,557
852.44714399999998,634
854.433716,602
856.41906700000004,600
858.40325900000005,583
860.385986,620
862.36767599999996,564
864.34802200000001,580
866.32714799999997,611
868.30505400000004,569
870.28167699999995,580
872.25720200000001,611
874.23132299999997,555
876.20434599999999,624
878.17596400000002,602
880.14648399999999,579
882.11566200000004,592
884.08367899999996,613
886.05053699999996,565
888.01605199999995,585
889.98040800000001,650
891.94348100000002,616
893.90545699999996,566
895.86608899999999,578
897.82556199999999,620
899.78369099999998,597
901.74066200000004,600
903.69641100000001,598
905.65100099999995,605
907.60437000000002,627
909.55645800000002,630
911.507385,605
913.45696999999996,653
915.40557899999999,625
917.35278300000004,658
919.29882799999996,725
921.243652,730
923.18707300000005,831
925.12957800000004,881
927.07067900000004,1068
929.01074200000005,1324
930.949524,1659
932.88708499999996,2025
934.82336399999997,2577
936.75854500000003,3004
938.69250499999998,3093
940.62518299999999,2965
942.55676300000005,2450
944.487122,1789
946.41625999999997,1279
948.34417699999995,991
950.27087400000005,797
952.19647199999997,761
954.12085000000002,674
956.04388400000005,646
957.96582000000001,675
959.88659700000005,697
961.80609100000004,655
963.72454800000003,698
965.64166299999999,715
967.55773899999997,786
969.47241199999996,828
971.38604699999996,950
973.29846199999997,1193
975.209656,1354
977.11975099999995,1496
979.028503,1508
980.93627900000001,1369
982.84265100000005,1193
984.748108,1014
986.65210000000002,880
988.555115,696
990.45678699999996,650
992.35730000000001,621
994.25683600000002,581
996.15496800000005,565
998.05206299999998,580
999.94787599999995,556
1001.842651,549
1003.736084,546
1005.62854,587
1007.519592,520
1009.4096070000001,513
1011.298462,535
1013.1860349999999,557
1015.072632,527
1016.957886,505
1018.842102,557
1020.725037,514
1022.606873,551
1024.4875489999999,453
1026.366943,490
1028.2454829999999,528
1030.1225589999999,532
1031.9986570000001,544
1033.873413,526
1035.747192,524
1037.619751,492
1039.4910890000001,509
1041.361206,529
1043.230225,529
1045.0981449999999,507
1046.9650879999999,481
1048.8305660000001,534
1050.6949460000001,513
1052.55835,510
1054.4204099999999,518
1056.2814940000001,508
1058.1412350000001,511
1060,519
1061.857544,533
1063.7138669999999,532
1065.5692140000001,468
1067.4232179999999,521
1069.276245,495
1071.1279300000001,483
1072.9788820000001,521
1074.8283690000001,483
1076.6766359999999,535
1078.5239260000001,497
1080.3701169999999,515
1082.2150879999999,519
1084.0588379999999,517
1085.901611,566
1087.743164,492
1089.5836179999999,498
1091.4229740000001,475
1093.2611079999999,541
1095.0980219999999,532
1096.9339600000001,456
1098.7687989999999,501
1100.6024170000001,498
1102.4350589999999,470
1104.2664789999999,496
1106.0966800000001,489
